model_name,ngram_range,max_features,min_df,val_accuracy,val_uar,val_macro_f1,val_weighted_f1,test_accuracy,test_uar,test_macro_f1,test_weighted_f1
LogisticRegression,"(1, 1)",5000,2,0.469,0.4712,0.4561,0.4702,0.4844,0.4884,0.4734,0.4884
LinearSVC,"(1, 1)",5000,2,0.4956,0.4815,0.4746,0.4937,0.5,0.487,0.4811,0.5018
LogisticRegression,"(1, 1)",5000,3,0.4629,0.4659,0.4504,0.4637,0.4796,0.4825,0.4678,0.4834
LinearSVC,"(1, 1)",5000,3,0.4888,0.475,0.4682,0.4866,0.4918,0.4777,0.4709,0.4922
LogisticRegression,"(1, 1)",10000,2,0.469,0.4712,0.4561,0.4702,0.4844,0.4884,0.4734,0.4884
LinearSVC,"(1, 1)",10000,2,0.4956,0.4815,0.4746,0.4937,0.5,0.487,0.4811,0.5018
LogisticRegression,"(1, 1)",10000,3,0.4629,0.4659,0.4504,0.4637,0.4796,0.4825,0.4678,0.4834
LinearSVC,"(1, 1)",10000,3,0.4888,0.475,0.4682,0.4866,0.4918,0.4777,0.4709,0.4922
LogisticRegression,"(1, 1)",20000,2,0.469,0.4712,0.4561,0.4702,0.4844,0.4884,0.4734,0.4884
LinearSVC,"(1, 1)",20000,2,0.4956,0.4815,0.4746,0.4937,0.5,0.487,0.4811,0.5018
LogisticRegression,"(1, 1)",20000,3,0.4629,0.4659,0.4504,0.4637,0.4796,0.4825,0.4678,0.4834
LinearSVC,"(1, 1)",20000,3,0.4888,0.475,0.4682,0.4866,0.4918,0.4777,0.4709,0.4922
LogisticRegression,"(1, 2)",5000,2,0.5065,0.5001,0.4911,0.5069,0.4993,0.4963,0.4862,0.5016
LinearSVC,"(1, 2)",5000,2,0.5092,0.4854,0.4847,0.5063,0.4946,0.477,0.4739,0.4951
LogisticRegression,"(1, 2)",5000,3,0.4976,0.4923,0.4827,0.4979,0.4952,0.4919,0.4817,0.498
LinearSVC,"(1, 2)",5000,3,0.5058,0.4817,0.4801,0.5022,0.4905,0.4728,0.4677,0.4903
LogisticRegression,"(1, 2)",10000,2,0.5092,0.5009,0.4927,0.5095,0.5,0.4973,0.4873,0.5022
LinearSVC,"(1, 2)",10000,2,0.5133,0.4891,0.4886,0.5104,0.498,0.4806,0.4778,0.4985
LogisticRegression,"(1, 2)",10000,3,0.4976,0.4923,0.4827,0.4979,0.4952,0.4919,0.4817,0.498
LinearSVC,"(1, 2)",10000,3,0.5058,0.4817,0.4801,0.5022,0.4905,0.4728,0.4677,0.4903
LogisticRegression,"(1, 2)",20000,2,0.5092,0.5009,0.4927,0.5095,0.5,0.4973,0.4873,0.5022
LinearSVC,"(1, 2)",20000,2,0.5133,0.4891,0.4886,0.5104,0.498,0.4806,0.4778,0.4985
LogisticRegression,"(1, 2)",20000,3,0.4976,0.4923,0.4827,0.4979,0.4952,0.4919,0.4817,0.498
LinearSVC,"(1, 2)",20000,3,0.5058,0.4817,0.4801,0.5022,0.4905,0.4728,0.4677,0.4903
