emotion,rank,term,discriminative_score
angry,1,hell,0.017111
angry,2,turn,0.013889
angry,3,shut,0.013159
angry,4,business,0.013053
angry,5,hate,0.0089
angry,6,stop,0.007659
angry,7,drunk,0.007124
angry,8,amanda,0.006692
angry,9,yes,0.006413
angry,10,crazy,0.006291
frustrated,1,don,0.010212
frustrated,2,want,0.008041
frustrated,3,calm,0.007275
frustrated,4,just,0.005403
frustrated,5,line,0.005196
frustrated,6,point,0.004992
frustrated,7,ve,0.004596
frustrated,8,need,0.004543
frustrated,9,don understand,0.004401
frustrated,10,understand,0.004364
happy,1,oh,0.024266
happy,2,yeah,0.017158
happy,3,awesome,0.009367
happy,4,great,0.008547
happy,5,like,0.007785
happy,6,good,0.006467
happy,7,excited,0.00626
happy,8,love,0.005931
happy,9,usc,0.00564
happy,10,did,0.004961
neutral,1,okay,0.022055
neutral,2,yeah,0.011909
neutral,3,right,0.011854
neutral,4,maybe,0.006562
neutral,5,um,0.00531
neutral,6,problem,0.005261
neutral,7,hmm,0.005053
neutral,8,sorry,0.004936
neutral,9,fine,0.004753
neutral,10,sir,0.004581
sad,1,know,0.032239
sad,2,yeah,0.017981
sad,3,just,0.01312
sad,4,don know,0.011577
sad,5,sorry,0.008902
sad,6,gonna,0.00854
sad,7,feel,0.008039
sad,8,things,0.008006
sad,9,kind,0.007248
sad,10,know know,0.006493
